SOx,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
LDDT,919.22,884.72,894.23,847.83,825.75,942.97,875.13,964.65,1195.79,1133.77,687.87,635.26,669.69,293.32,304.09,333.74,346.04,334.03,341.36,356.49,387.93,228.34,37.69,38.62,39.56,40.54,41.25,46.78
LDDV,563.78,533.86,533.01,544.66,539.93,537.64,517.9,532.76,546.74,406.3,254.2,210.86,211.54,71.36,81.96,86.51,93.4,94.79,96.03,103.55,106.89,55.09,8.33,8.52,8.69,8.88,9,9.85
LDGT,3404.88,3590.18,3720.27,3270.87,4705.18,3452.03,3777.34,4101.19,4532.4,5591.47,5642.96,5545.24,6407.06,6905.27,6470.25,6719.94,6385.73,5601.25,3798.48,1350.84,649.34,666.24,681.49,696.65,711.79,726.53,735.67,745.32
LDGV,7503.42,7999.18,8418.5,7455.85,9886.56,7916.26,7943.24,7724.23,8069.12,9588.77,9354.39,8583.26,9008.29,8708.51,7934.97,7975.28,7356.31,6180.13,4003.84,1332.92,610.57,623.56,636.55,649.57,662.57,675.55,683.19,690.82
MAT,113646.98,106603.62,105330.63,122992.29,125334.59,114731,98388.16,99945.63,102015.86,96734.37,89617.89,78420.21,77323.28,78773.17,78387.51,77179.97,76804.13,71091.94,72720.52,74352.9,75998.25,77637.56,79331.88,81041.27,82766.09,84506.62,86283.94,88077.34
MOT,25.9,25.38,25.82,20.87,27.41,19.62,19.94,18.85,18.92,20.92,19.24,17.07,19.19,22.96,19.67,22.55,24.56,23.14,17.78,6.43,3,3.07,3.14,3.21,3.27,3.33,3.36,3.42
ORUD,18879.92,18514.81,19799.19,19116.43,18822.39,22870.11,21459.55,22704.39,24622.98,21648.62,20005.45,22660.23,25869.22,14606.46,14831.61,13811.33,15523.87,15247.75,15707.53,16133.28,16558.92,14938.13,13020.7,2798.61,2875.41,248.3,247.76,247.15
ORUG,704.27,766.86,840.19,764.35,1063.81,859.67,899.16,921.47,980.37,1190.93,1199.92,1157.69,1226.59,1236.7,1103.04,1120.77,1041.38,901.19,612.83,207.32,97.85,99.89,101.93,103.84,105.88,107.82,109.77,111.73
RAT,5608.49,5522.86,5494.98,5523.61,5139.86,5234.06,5291.84,5141.75,5125.55,5442.08,5443.35,5266.06,5615.6,5245.92,4952.65,5049.18,5123.51,5201.87,4934.33,5164.77,5179.64,5194.55,2228.87,2234.92,2241.01,2247.08,467.97,468.84
TWBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
