pm10,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
OIU,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3133244,7.3164264,7.3195284,7.3226304,7.3257324,7.3288344,6.760895525,6.260224888,5.661164014,5.122393143,5.122393143,8.62625,8.62625,5.57625,6.6528,6.6528,6.6528,6.6528
CIS,1005.368095,930.8526622,822.1850333,822.1850333,775.570747,775.9673169,775.9673169,775.9673169,875.2105563,875.2105563,875.2105563,805.6695304,805.2671971,719.2720904,719.2720904,690.3017466,653.1461657,606.3148867,561.0785389,526.9688096,519.7779356,520.5432454,544.1431342,496.0251074,478.5445212,483.6514582,480.9638437,473.28
DRC,,,,,,0.640544,0.640466,0.64039,0.64031,0.64023,0.639,0.639,0.63681,0.63734,0.63734,0.63734,0.018431297,0.018522594,0.6367,0.619,0.619,0.59,0.522,1.614,1.568,1.1568,19.65,12.33
GSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHI,506.1829,1215.6884,1243.9764,1272.2644,1300.5524,612.1914,505.0811042,504.7773486,504.8548384,533.9616391,506.47148,445.6860917,463.2090139,502.3690444,526.5833447,459.9814954,406.5790861,386.9402773,358.7744363,366.2224048,349.9704,162.4803039,115.1775025,116.2026103,82.243,108.2263265,124.0716364,113.55
MEC,6256.94,6213.66,6192.01,6310.62,6529.6,6311.47,6320.57,6628.58,6730.73,6851.55,6779.85,6738.68,6849.91,7255.82,7695.5,7610.12,7720.39,7814.69,7726.92,7907.04,7753.58,7844.609561,8733.061463,8702.750131,8472.914946,8239.435589,8071.079569,8539.784527
RPPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,67.85284673,68.08015524,68.06360779,68.21544678,68.42727176,3.909482776,3.935583328,4.475628033,5.07534821,5.606508596,13.99457379,11.95011968,10.93578487,10.00763678,9.660621829,7.807222065,10.79268496,13.70497543,15.50243677,19.61435377,25.55376406,9.381385326,14.35690353,14.96040261,14.54919536,11.7873725,6.380441355,27.66044135
STF,392.0058237,380.0751382,376.6333777,396.3150657,376.7742026,379.027401,380.1483672,367.755776,367.80084,371.5918463,357.5938512,335.5632039,311.0596714,321.6046399,308.9247659,310.152759,301.8696051,289.6547936,278.6030566,273.4386405,270.819393,291.6771563,274.8169752,261.094997,261.094997,261.094997,300.1372922,300.1372922
SUC,21.58577,21.75907,21.93237,22.10567,22.27897,19.6926,16.99346778,17.5790974,18.53300644,27.13070496,19.255,9.984562694,7.074816084,5.279483586,3.530251075,0.402,1.035960202,1.698051434,2.343132048,2.658889189,3.389,,,,,,,
HUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMS,166.5401755,168.3878547,169.4895572,168.7254614,168.5807204,173.0250609,173.1101021,172.8436787,174.4029799,173.8221365,174.0759025,174.0445313,175.1908385,174.8664036,175.846401,175.2716563,169.9888888,170.1980152,178.7023371,169.4466574,170.587341,,,,,,0.35,0.29
