tpm,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DPI,8397.741233,8574.628714,9113.25067,9256.053027,9813.598133,9995.760243,9821.749724,9647.535216,9683.891903,10023.06426,9970.115639,10017.00852,10204.09212,10195.26895,10341.11915,10448.67299,10008.56862,9294.120709,9190.699908,9386.999552,9297.865232,5557.622545,5202.540773,5213.167456,4665.893736,4168.575878,4086.576334,3825.706152
PPTD,594.6099953,596.0406911,601.4592483,607.0182011,611.8439625,607.7597539,613.086125,617.5771415,623.5792468,631.5505093,640.4073517,527.4253953,561.5717181,537.6281811,504.8164768,541.1129073,374.0589946,506.4056301,464.6603822,466.218566,459.2239256,253.2882067,203.5162558,168.3109706,139.4916349,99.11898895,91.10190668,80.54338665
OTI,48172.00824,41218.35653,36656.5836,34706.15359,28294.37163,22614.36007,21822.31577,22210.45761,24702.16978,25636.70968,26722.88878,27386.19669,28514.34616,30034.03786,31089.52828,31085.7738,20768.9274,21677.84235,23361.47694,29685.15267,17076.88398,7922.747869,6871.003411,6313.756215,6500.098536,5809.511039,7772.416585,5245.104785
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,17.0709,15.23,15.82
CFC,4467.174647,4138.007966,3540.424119,3767.941418,3766.069699,2810.436154,2801.13944,2851.236034,2882.022907,2880.050213,2591.254419,2601.802467,2709.400328,2755.591909,2894.128721,3524.321163,3809.144521,4241.352819,4616.449926,4984.588106,5314.024766,4610.596244,5138.987047,5234.479406,5301.370049,3575.384398,2942.651424,2504.597791
EPGU,100655.613,89960.01144,100262.0474,108383.1243,102675.6015,90642.98804,89654.59395,85812.93413,81316.98219,76770.74841,76417.65829,82378.85952,89860.03793,96850.40963,112239.3083,122704.1891,99561.18672,75693.32143,39957.97928,34801.3287,34010.31492,28379.42303,28762.03086,23783.15378,22994.5094,22482.60356,17603.73067,15382.46871
RFC,4711.919174,4445.038888,4067.364791,4041.182729,4030.934211,3842.983818,3728.845491,3808.873757,3892.49968,3841.763938,3773.102918,4250.884767,3977.300493,3445.265177,3555.471297,3673.814501,3650.214741,3546.0916,3386.641888,3365.842167,3204.702447,3130.505965,3512.369529,3414.60818,3758.347996,3758.338093,4183.07,4183.07
RFWC,107362.3979,106146.2219,108078.1763,109364.2029,105304.2212,105992.6557,104503.9936,99313.26514,104147.237,105027.755,101904.0252,100449.1213,100967.477,100942.9094,99943.6432,99905.30698,102644.7631,104053.2399,113969.3909,110090.7015,114184.0288,115164.5658,113868.9644,112587.9386,111321.3243,110068.9594,108830.6836,107606.07
AIT,1008.06,1035.69,1180.6,1134.36,1351.68,1200.29,974.29,932.67,911.98,929.24,1019.9,1040.38,1030.18,1068.12,1055.6,1059.22,1001.76,1017.71,973.65,999.4,1023.78,1019.31,1046.81,1074.3,1101.81,1129.28,1141.25,1153.17
HDDV,16249.3,16716.72,17710.13,18257.5,18487.89,18238.24,16752.81,15761.39,16460.79,17867.29,15858.86,12969.45,12364.25,12125.6,10117.3,9392.03,9125.53,8364.91,7783.56,7665.48,7421.59,6771.88,5964.98,5282.02,4697.48,4177.07,3638.42,3112.15
